POI_TYPE,POI_ADD,POSTCODE,XCOORD,YCOORD,LATITUDE,LONGITUDE
HDB,Block 401 Woodlands Street 41,730401,21262.3008,45797.342,1.4302046,103.772726
HDB,Block 402 Woodlands Street 41,730402,21204.9704,45865.4298,1.431003,103.7722305
HDB,Block 403 Woodlands Street 41,730403,21205.245,45826.081,1.4307608,103.7722534
HDB,Block 404 Woodlands Street 41,730404,21204.9666,45786.4919,1.4303425,103.7722305
HDB,Block 405 Woodlands Street 41,730405,21205.2428,45747.1404,1.4299749,103.772321
HDB,Block 406,730406,21257.1874,45681.8261,1.429359,103.772663
HDB,Block 408 Woodlands Street 41,730408,21217.2389,45620.8601,1.4287996,103.7725021
HDB,Block 409 Woodlands Street 41,730409,21323.7718,45650.5419,1.429161,103.7734074
HDB,Block 410 Woodlands Street 41,730410,21341.8168,45607.7593,1.4286319,103.773345
HDB,Block 411 Woodlands Street 41,730411,21267.3983,45583.4495,1.4284809,103.7727309
HDB,Block 412 Woodlands Street 41,730412,21267.6162,45542.0825,1.428192,103.7728416
HDB,Block 413 Woodlands Street 41,730413,21262.3315,45501.6793,1.427778,103.772758
HDB,Block 414 Woodlands Street 41,730414,21330.5998,45516.23,1.4281047,103.7733452
HDB,Block 415 Woodlands Street 41,730415,21399.6468,45516.2168,1.4279191,103.7740817
HDB,Block 416 Woodlands Street 41,730416,21372.011,45567.4447,1.428318,103.773881
HDB,Block 417 Woodlands Street 41,730417,21401.4743,45621.4942,1.428863,103.7741317
HDB,Block 418 Woodlands Street 41,730418,21484.89,45622.5984,1.4290054,103.774856
HDB,Block 419 Woodlands Street 41,730419,21462.4258,45583.4432,1.4285342,103.7745427
HDB,Block 420 Woodlands Street 41,730420,21462.6438,45542.0762,1.4281446,103.774607
HDB,Block 421 Woodlands Street 41,730421,21467.9122,45501.6283,1.4279254,103.7746711
HDB,Block 424 Woodlands Street 41,730424,21494.3582,45447.7784,1.4273174,103.774856
HDB,Block 425 Woodlands Street 41,730425,21398.3014,45428.5281,1.4272714,103.7740074
HDB,Block 426 Woodlands Street 41,730426,21318.9488,45428.5548,1.4273268,103.7733169
HDB,Block 427 Woodlands Street 41,730427,21231.1955,45448.6444,1.4272788,103.7726801
HDB,Block 428 Woodlands Street 41,730428,21240.5243,45414.1275,1.4269643,103.7725926
HDB,Block 429 Woodlands Street 41,730429,21281.7093,45373.6477,1.4266121,103.7729233
HDB,Block 436 Woodlands Street 41,730436,21495.7968,45373.5757,1.4265852,103.7745844
HDB,Block 437 Woodlands Street 41,730437,21475.8105,45414.0484,1.4269516,103.7746749
HDB,Block 301 Woodlands Street 31,730301,21344.832,45914.1834,1.4316491,103.7737749
HDB,Block 302 Woodlands Street 31,730302,21446.41,45914.8305,1.4316789,103.7744182
HDB,Block 302A Woodlands Street 31,730302,21446.41,45914.8305,1.4317468,103.7752276
HDB,Block 303 Woodlands Street 31,730303,21370.7191,45867.6758,1.4309813,103.7739235
HDB,Block 304 Woodlands Street 31,730304,21382.4716,45735.8569,1.4298927,103.7737696
HDB,Block 304A Woodlands Street 31,730304,21382.4716,45735.8569,1.429969,103.773743
HDB,Block 304B Woodlands Street 31,730304,21382.4716,45735.8569,1.429969,103.773743
HDB,Block 304B Woodlands Street 31,730304,21382.4716,45735.8569,1.429969,103.773743
HDB,Block 306 Woodlands Street 31,730306,21469.5665,45739.9857,1.4301723,103.7748283
HDB,Block 307 Woodlands Ave 1,730307,21669.9377,45682.4107,1.4294363,103.7763951
HDB,Block 308 Woodlands Ave 1,730308,21683.6977,45726.0815,1.4298353,103.7764987
HDB,Block 309 Woodlands Ave 1,730309,21623.0042,45719.8236,1.429749,103.775955
HDB,Block 310 Woodlands Street 31,730310,21618.7516,45759.2066,1.4300996,103.7759424
HDB,Block 311 Woodlands Street 31,730311,21640.172,45798.438,1.4304654,103.7761235
HDB,Block 312 Woodlands Street 31,730312,21582.5676,45823.8177,1.430703,103.7755899
HDB,Block 313 Woodlands Street 31,730313,21640.4846,45836.6188,1.4308324,103.7761235
HDB,Block 314 Woodlands Street 31,730314,21629.549,45879.3951,1.4311265,103.776033
HDB,Block 315 Woodlands Street 31,730315,21604.1884,45910.9851,1.4315595,103.7758869
HDB,Block 316 Woodlands Street 31,730316,21661.561,45914.5837,1.4314935,103.776033
HDB,Block 317 Woodlands Street 31,730317,21651.157,45957.3733,1.4318593,103.776214
HDB,Block 318 Woodlands Street 31,730318,21739.6742,45952.9778,1.4318532,103.77721
HDB,Block 319 Woodlands Street 31,730319,21777.131,45914.5717,1.4315039,103.7773231
HDB,Block 320 Woodlands Street 32,730320,21854.4684,45918.4935,1.431545,103.778065
HDB,Block 321 Woodlands Street 32,730321,21991.1262,45956.2153,1.4318416,103.7791113
HDB,Block 322 Woodlands Street 32,730322,21941.9801,45915.3387,1.4314774,103.7786586
HDB,Block 323 Woodlands Street 32,730323,21967.7541,45877.3993,1.4311082,103.7790207
HDB,Block 324 Woodlands Street 32,730324,22034.4439,45884.667,1.431251,103.7796709
HDB,Block 325 Woodlands Street 32,730325,22012.77,45834.9555,1.4308119,103.7794734
HDB,Block 326 Woodlands Street 32,730326,22019.974,45794.2999,1.4303892,103.7795866
HDB,Block 327 Woodlands Street 32,730327,22090.676,45774.2213,1.430263,103.78017
HDB,Block 328 Woodlands Street 32,730328,22004.1008,45754.0793,1.430078,103.7794734
HDB,Block 329 Woodlands Street 32,730329,21933.271,45787.6719,1.430413,103.778818
HDB,Block 330 Woodlands Ave 1,730330,21909.5751,45725.9636,1.429749,103.7785169
HDB,Block 331 Woodlands Ave 1,730331,21923.259,45682.3513,1.42946,103.778521
HDB,Block 332 Woodlands Ave 1,730332,21970.1641,45719.7192,1.429716,103.779085
HDB,Block 333 Woodlands Street 32,730333,22066.635,45721.9284,1.429791,103.779953
HDB,Block 334 Woodlands Street 32,730334,22117.0331,45752.6025,1.4299519,103.780215
HDB,Block 335 Woodlands Street 32,730335,22130.9115,45717.3329,1.4297772,103.7806504
HDB,Block 336 Woodlands Ave 1,730336,22289.3502,45798.5254,1.430409,103.781799
HDB,Block 337 Woodlands Ave 1,730337,22260.5129,45827.041,1.4308698,103.7820085
HDB,Block 338 Woodlands Ave 1,730338,22195.6827,45830.2785,1.4307831,103.781171
HDB,Block 339 Woodlands Ave 1,730339,22244.7562,45858.7749,1.4310193,103.7815558
HDB,Block 340 Woodlands Ave 1,730340,22192.7205,45876.4541,1.4312411,103.7812842
HDB,Block 341 Woodlands Ave 1,730341,22191.1234,45917.0157,1.431546,103.781053
HDB,Block 342 Woodlands Ave 1,730342,22190.2438,45964.1357,1.4319643,103.781022
HDB,Block 343 Woodlands Ave 2,730343,22139.7021,45940.7451,1.431827,103.780623
HDB,Block 344 Woodlands Street 32,730344,22117.0844,45976.9043,1.4321269,103.7804694
HDB,Block 345 Woodlands Street 32,730345,22091.6995,46005.7522,1.4322764,103.7800167
HDB,Block 346 Woodlands Street 32,730346,22202.5352,46035.1825,1.4324165,103.7811031
HDB,Block 347 Woodlands Ave 3,730347,22243.9368,46100.6057,1.4332206,103.7816464
HDB,Block 348 Woodlands Ave 3,730348,22275.8168,46072.7464,1.4329438,103.7818954
HDB,Block 349 Woodlands Ave 3,730349,22346.4776,46137.4074,1.4333629,103.7823707
HDB,Block 350 Woodlands Ave 3,730350,22321.8478,46172.5756,1.4337783,103.782278
HDB,Block 351 Woodlands Ave 1,730351,22518.4402,46024.8105,1.4321764,103.7843626
HDB,Block 352 Woodlands Ave 1,730352,22569.516,45929.3196,1.4317355,103.7844532
HDB,Block 353 Woodlands Ave 1,730353,22640.9461,45948.5657,1.431827,103.78518
HDB,Block 354 Woodlands Ave 1,730354,22630.1401,46012.1703,1.4323916,103.7851775
HDB,Block 355 Woodlands Ave 1,730355,22572.8301,46062.5135,1.4327977,103.7847701
HDB,Block 356 Woodlands Ave 5,730356,22619.7403,46109.9112,1.4334207,103.7849059
HDB,Block 357 Woodlands Ave 5,730357,22559.8957,46095.493,1.4331299,103.7844532
HDB,Block 358 Woodlands Ave 5,730358,22497.6839,46154.9171,1.4336476,103.7838194
HDB,Block 359 Woodlands Ave 5,730359,22519.2575,46197.0377,1.434288,103.783908
